"Id","Feature1","Feature2","Feature3","Feature4","Length","YearConstruction","YearLastFailureObserved"
1,"T","IAB",-0.209840627768268,"C",3.5972,2001,NA
2,"T","U",2.18499198263665,"M",4.0547,1965,NA
3,"P","U",-0.43435618499373,"D",3.9669,2003,NA
4,"T","IAB",-0.509194704068884,"C",1.8658,2000,NA
5,"P","U",1.43660679188512,"D",59.7671,2001,NA
6,"T","IAB",-0.209840627768268,"C",3.87,1979,NA
7,"T","IAB",-0.43435618499373,"M",50.0375,1970,NA
8,"T","IAB",-0.43435618499373,"M",5.5868,1959,NA
9,"T","IAB",-0.43435618499373,"M",4.0905,1959,NA
10,"T","IAB",-0.43435618499373,"M",1.2773,1959,NA
11,"P","U",0.688221601133578,"D",6.2945,1999,NA
12,"P","U",2.18499198263665,"M",91.3934,2001,NA
13,"T","IAB",4.43014755489127,"M",0.9985,1970,NA
14,"T","O",5.92691793639434,"M",1.3833,2013,NA
15,"T","O",5.92691793639434,"M",9.1342,2013,NA
16,"T","O",5.92691793639434,"M",1.9704,2013,NA
17,"T","O",5.92691793639434,"M",1.9694,2013,NA
18,"T","O",5.92691793639434,"M",19.4769,2013,NA
19,"P","O",-0.43435618499373,"M",23.7679,2013,NA
20,"P","O",-0.43435618499373,"M",2.7552,2013,NA
21,"P","O",-0.43435618499373,"M",1.6684,2013,NA
22,"P","O",-0.43435618499373,"M",12.157,2013,NA
23,"T","IAB",5.92691793639434,"M",8.1857,2013,NA
24,"T","IAB",5.92691793639434,"M",1.3348,2013,NA
25,"T","IAB",5.92691793639434,"M",1.3358,2013,NA
26,"T","IAB",5.92691793639434,"M",10.438,2013,NA
27,"T","IAB",5.92691793639434,"M",2.7696,2013,NA
28,"T","U",-0.509194704068884,"D",9.4085,1985,NA
29,"T","O",2.93337717338819,"M",8.1255,1978,NA
30,"T","O",-0.43435618499373,"M",4.7702,1978,NA
31,"T","IAB",-0.322098406380999,"C",5.1845,1982,NA
32,"T","IAB",-0.322098406380999,"C",6.6034,1982,NA
33,"T","U",1.43660679188512,"D",26.1117,1982,NA
34,"P","U",-0.569065519329007,"C",25.1442,2000,NA
35,"P","U",0.314029005757808,"D",79.9483,2001,NA
36,"P","U",0.688221601133578,"D",36.1862,2001,NA
37,"P","U",0.314029005757808,"D",11.4269,2001,NA
38,"T","O",2.93337717338819,"M",113.3917,1978,NA
39,"P","U",0.688221601133578,"D",56.0617,2001,NA
40,"P","U",0.126932708069924,"D",0.2752,2001,NA
41,"P","U",2.18499198263665,"M",6.4508,1997,NA
42,"P","U",0.688221601133578,"D",43.7573,1997,NA
43,"P","U",-0.322098406380999,"D",11.9833,1997,NA
44,"T","O",4.43014755489127,"M",219.4137,1978,NA
45,"T","U",4.43014755489127,"M",2.4003,1977,NA
46,"T","U",5.92691793639434,"M",295.0541,1964,NA
47,"T","U",4.43014755489127,"M",64.0635,1977,NA
48,"T","O",-0.43435618499373,"M",352.5921,1978,NA
49,"T","O",-0.43435618499373,"M",1.322,1978,NA
50,"T","U",5.17853274564281,"M",121.898,1978,NA
51,"T","U",4.43014755489127,"M",56.1177,1978,NA
52,"P","U",-0.209840627768268,"D",28.1538,1994,NA
53,"T","IAB",6.67530312714588,"M",15.1127,1978,NA
54,"T","IAB",5.17853274564281,"M",123.033,1978,NA
55,"P","U",-0.322098406380999,"C",12.0175,1994,NA
56,"P","U",4.43014755489127,"M",163.2988,1993,NA
57,"P","U",-0.322098406380999,"D",6.4471,1997,NA
58,"P","U",-0.0601635896179607,"D",7.8434,1997,NA
59,"P","U",-0.209840627768268,"D",7.636,1997,NA
60,"T","U",5.17853274564281,"M",460.6669,1976,NA
61,"T","O",5.17853274564281,"M",7.7589,1990,NA
62,"P","O",-0.43435618499373,"M",3.7708,2013,NA
63,"T","O",5.17853274564281,"M",6.7043,1990,NA
64,"T","O",6.67530312714588,"M",7.9842,2013,NA
65,"T","O",5.17853274564281,"M",21.8294,2013,NA
66,"P","O",-0.43435618499373,"M",11.6328,2013,NA
67,"T","O",5.17853274564281,"M",0.5532,1978,NA
68,"T","O",6.67530312714588,"M",7.5444,2013,NA
69,"T","U",5.17853274564281,"M",7.8775,1990,NA
70,"T","O",6.67530312714588,"M",7.2347,1977,NA
71,"P","O",-0.43435618499373,"M",5.6663,2013,NA
72,"T","O",5.92691793639434,"M",137.2522,1984,NA
73,"T","O",5.92691793639434,"M",120.6297,1984,NA
74,"T","O",6.67530312714588,"M",7.4767,2013,NA
75,"T","O",6.67530312714588,"M",4.6762,2013,NA
76,"T","O",2.93337717338819,"M",108.7435,1978,NA
77,"T","O",-0.43435618499373,"M",108.0724,1978,NA
78,"T","U",2.93337717338819,"M",2.5284,2013,NA
79,"T","O",5.17853274564281,"M",2.6883,2013,NA
80,"T","U",5.17853274564281,"M",5.0327,2013,NA
81,"T","U",2.93337717338819,"M",3.5448,2013,NA
82,"T","IAB",-0.209840627768268,"C",3.4588,2003,NA
83,"P","U",-0.209840627768268,"D",6.296,2000,NA
84,"T","U",5.17853274564281,"M",324.3015,1992,NA
85,"T","U",0.688221601133578,"D",8.0974,1989,NA
86,"T","U",5.17853274564281,"M",9.5079,1978,NA
87,"T","U",5.17853274564281,"M",1.319,1978,NA
88,"T","U",5.17853274564281,"M",8.9075,1978,NA
89,"T","U",1.06241419650935,"D",2.3874,1990,NA
90,"T","U",1.43660679188512,"D",200.7208,1979,NA
91,"P","U",-0.43435618499373,"D",4.6015,2001,NA
92,"P","U",-0.0601635896179607,"D",1.603,1993,NA
93,"P","U",-0.0601635896179607,"D",69.9463,1993,NA
94,"T","U",0.314029005757808,"D",86.261,2001,NA
95,"T","U",0.314029005757808,"D",23.2589,2000,NA
96,"T","IAB",0.314029005757808,"D",35.9217,1991,NA
97,"T","IAB",0.314029005757808,"D",18.3903,1991,NA
98,"T","IAB",-0.322098406380999,"D",0.8589,1978,NA
99,"T","U",-0.322098406380999,"C",43.9067,1982,NA
100,"T","U",0.314029005757808,"D",71.0502,1983,NA
101,"T","U",1.81079938726088,"M",1.2342,1987,NA
102,"T","U",-0.209840627768268,"D",30.1357,1987,NA
103,"T","U",0.314029005757808,"D",58.2281,1987,NA
104,"T","U",0.314029005757808,"D",1.2792,1987,NA
105,"T","U",3.68176236413973,"M",1.5435,1974,NA
106,"T","U",-0.209840627768268,"D",1.5902,1989,NA
107,"T","U",-0.209840627768268,"D",37.8297,1989,NA
108,"P","U",0.688221601133578,"D",31.7339,1995,NA
109,"P","U",0.688221601133578,"D",0.2606,1995,NA
110,"P","U",-0.43435618499373,"D",17.9721,1995,NA
111,"P","U",0.688221601133578,"D",117.7637,1995,NA
112,"P","U",0.688221601133578,"D",86.5263,1995,NA
113,"T","U",2.93337717338819,"M",36.6097,1975,NA
114,"P","U",4.43014755489127,"M",90.6079,2000,NA
115,"T","IAB",-0.43435618499373,"C",2.4244,1981,NA
116,"P","U",-0.322098406380999,"D",101.4183,2001,NA
117,"P","U",-0.43435618499373,"C",80.4022,2001,NA
118,"P","U",-0.43435618499373,"C",129.0006,2001,NA
119,"P","U",-0.322098406380999,"D",13.5327,2001,NA
120,"P","U",-0.209840627768268,"D",22.252,2001,NA
121,"P","U",-0.322098406380999,"D",43.2787,2001,NA
122,"P","U",-0.209840627768268,"D",21.5352,2001,NA
123,"P","U",-0.43435618499373,"C",20.5242,2001,NA
124,"P","U",-0.322098406380999,"D",33.4065,2001,NA
125,"P","U",-0.43435618499373,"C",12.6776,2001,NA
126,"P","U",-0.43435618499373,"D",2.2668,2001,NA
127,"P","U",-0.43435618499373,"D",15.096,2001,NA
128,"P","U",-0.43435618499373,"C",16.0173,2001,NA
129,"P","U",-0.43435618499373,"D",9.6671,2001,NA
130,"T","IAB",-0.43435618499373,"D",3.6222,2001,NA
131,"T","U",-0.322098406380999,"C",0.4216,1970,NA
132,"P","U",-0.322098406380999,"D",1.5001,2001,NA
133,"T","U",1.06241419650935,"D",52.1664,1987,NA
134,"T","IAB",4.43014755489127,"M",8.1181,1971,NA
135,"T","O",-0.43435618499373,"M",137.6434,1981,NA
136,"T","O",5.92691793639434,"M",3.5621,2002,NA
137,"T","IAB",-0.43435618499373,"C",17.1481,1975,NA
138,"T","IAB",-0.209840627768268,"C",2.9981,1975,2004
139,"T","IAB",-0.43435618499373,"C",1.5627,1975,NA
140,"T","IAB",-0.209840627768268,"C",6.0139,1975,NA
141,"P","U",-0.322098406380999,"C",1.9036,1999,NA
142,"T","U",2.18499198263665,"M",4.8244,1988,NA
143,"T","IAB",-0.209840627768268,"C",0.9822,1980,NA
144,"P","U",0.688221601133578,"D",19.3854,1991,NA
145,"T","IAB",-0.43435618499373,"C",1.4982,2001,NA
146,"T","U",5.17853274564281,"M",0.8549,1977,NA
147,"P","U",0.314029005757808,"D",4.6442,2000,NA
